Strain	Original_name	Group	Version	Status	Genome number	ShortTaxName	Locus tag	File name	Locus tag (Strain)	File name (Strain)	Locus tag (Strain no underscore)	Taxonomy_rp15	Taxonomy_GtoTree	Accession	Alternative Names	arCOG Taxonomy	CheckM Completeness v1,2,1	CheckM Contamination v1,2,1	Genome_quality	Genome_quality_score	GTDB-Tk v1.5.1 Classsification	GTDB-Tk v1.3.0 Classification		OriginLab	Date_added	Complete_genome	Notes
Meg22_1416_Bin_173	Meg22_1416_Bin_173	01_unpublished_bakerlab	v01		00404	Loki	Loki_00404	Loki_00404	Loki_Meg22_1416_Bin_173	Loki_Meg22_1416_Bin_173	Loki__Meg22_1416_Bin_173_	Loki	Loki			Lokiarchaeota	64,13	2,34	medium_quality	52,43	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_184	Meg22_1416_Bin_184	01_unpublished_bakerlab	v01		00581	Thor	Thor_00581	Thor_00581	Thor_Meg22_1416_Bin_184	Thor_Meg22_1416_Bin_184	Thor__Meg22_1416_Bin_184_	Thor	Thor			Thorarchaeota	72,43	6,51	medium_quality	39,88	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_186	Meg22_1416_Bin_186	01_unpublished_bakerlab	v01		00582	Thor	Thor_00582	Thor_00582	Thor_Meg22_1416_Bin_186	Thor_Meg22_1416_Bin_186	Thor__Meg22_1416_Bin_186_	Thor	Thor			Thorarchaeota	58,81	1,14	medium_quality	53,11	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765		bakerlab	2022/07/06		
Meg22_1416_Bin_21_NC	Meg22_1416_Bin_21_NC	01_unpublished_bakerlab	v01		00248	Jord	Jord_00248	Jord_00248	Jord_Meg22_1416_Bin_21_NC	Jord_Meg22_1416_Bin_21_NC	Jord__Meg22_1416_Bin_21_NC_	Jord	Jord			Freyarchaeota	69	6,54	medium_quality	36,3	d__Archaea;p__Asgardarchaeota;c__DTBI01;o__DTBI01;f__;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_36	Meg22_1416_Bin_36	01_unpublished_bakerlab	v01		00083	HeHe	HeHe_00083	HeHe_00083	HeHe_Meg22_1416_Bin_36	HeHe_Meg22_1416_Bin_36	HeHe__Meg22_1416_Bin_36_	HeHeimdall	HeHeimdall			Heimdallarchaeia	78,54	0,93	medium_quality	73,89	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_67	Meg22_1416_Bin_67	01_unpublished_bakerlab	v01		00212	Hela	Hela_00212	Hela_00212	Hela_Meg22_1416_Bin_67	Hela_Meg22_1416_Bin_67	Hela__Meg22_1416_Bin_67_	Hel	Hel			Helarchaeota	91,28	3,74	high_quality	72,58	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-A;g__HEL-GB-A;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-A;g__HEL-GB-A;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_72	Meg22_1416_Bin_72	01_unpublished_bakerlab	v01		00213	Hela	Hela_00213	Hela_00213	Hela_Meg22_1416_Bin_72	Hela_Meg22_1416_Bin_72	Hela__Meg22_1416_Bin_72_	Hel	Hel			Helarchaeota	92,06	3,27	high_quality	75,71	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__		bakerlab	2022/07/06		
Meg22_1416_Bin_92	Meg22_1416_Bin_92_2_1	01_unpublished_bakerlab	v01		00144	HeHo	HeHo_00144	HeHo_00144	HeHo_Meg22_1416_Bin_92	HeHo_Meg22_1416_Bin_92	HeHo__Meg22_1416_Bin_92_	HeHod	HeHod			Skadiarchaeia	68,69	1,87	medium_quality	59,34	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_103	Meg22_1618_Bin_103	01_unpublished_bakerlab	v01		00405	Loki	Loki_00405	Loki_00405	Loki_Meg22_1618_Bin_103	Loki_Meg22_1618_Bin_103	Loki__Meg22_1618_Bin_103_	Loki	Loki			Lokiarchaeota	84,11	2,34	medium_quality	72,41	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_122	Meg22_1618_Bin_122	01_unpublished_bakerlab	v01		00011	Odin	Odin_00011	Odin_00011	Odin_Meg22_1618_Bin_122	Odin_Meg22_1618_Bin_122	Odin__Meg22_1618_Bin_122_	DeepOdin2	DeepOdin2			Odinarchaeota	96,26	2,8	high_quality	82,26	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia_A;o__Odinarchaeales;f__;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Odinarchaeales;f__;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_136	Meg22_1618_Bin_136	01_unpublished_bakerlab	v01		00249	Jord	Jord_00249	Jord_00249	Jord_Meg22_1618_Bin_136	Jord_Meg22_1618_Bin_136	Jord__Meg22_1618_Bin_136_	Jord	Jord			Freyarchaeota	87,38	2,34	medium_quality	75,68	d__Archaea;p__Asgardarchaeota;c__DTBI01;o__DTBI01;f__;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_161	Meg22_1618_Bin_161	01_unpublished_bakerlab	v01		00214	Hela	Hela_00214	Hela_00214	Hela_Meg22_1618_Bin_161	Hela_Meg22_1618_Bin_161	Hela__Meg22_1618_Bin_161_	Hel	Hel			Helarchaeota	89,72	6,54	medium_quality	57,02	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_17	Meg22_1618_Bin_17	01_unpublished_bakerlab	v01		00406	Loki	Loki_00406	Loki_00406	Loki_Meg22_1618_Bin_17	Loki_Meg22_1618_Bin_17	Loki__Meg22_1618_Bin_17_	Loki	Loki			Lokiarchaeota	74,66	0,93	medium_quality	70,01	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_30	Meg22_1618_Bin_30	01_unpublished_bakerlab	v01		00084	HeHe	HeHe_00084	HeHe_00084	HeHe_Meg22_1618_Bin_30	HeHe_Meg22_1618_Bin_30	HeHe__Meg22_1618_Bin_30_	HeHeimdall	HeHeimdall			Heimdallarchaeia	80,37	7,01	medium_quality	45,32	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_45	Meg22_1618_Bin_45	01_unpublished_bakerlab	v01		00583	Thor	Thor_00583	Thor_00583	Thor_Meg22_1618_Bin_45	Thor_Meg22_1618_Bin_45	Thor__Meg22_1618_Bin_45_	Thor	Thor			Thorarchaeota	93,93	3,74	high_quality	75,23	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_62	Meg22_1618_Bin_62	01_unpublished_bakerlab	v01		00085	HeHe	HeHe_00085	HeHe_00085	HeHe_Meg22_1618_Bin_62	HeHe_Meg22_1618_Bin_62	HeHe__Meg22_1618_Bin_62_	HeHeimdall	HeHeimdall			Heimdallarchaeia	86,45	2,34	medium_quality	74,75	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_1618_Bin_74	Meg22_1618_Bin_74	01_unpublished_bakerlab	v01		00145	HeHo	HeHo_00145	HeHo_00145	HeHo_Meg22_1618_Bin_74	HeHo_Meg22_1618_Bin_74	HeHo__Meg22_1618_Bin_74_	HeHod	HeHod			Skadiarchaeia	91,12	3,74	high_quality	72,42	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__;s__		bakerlab	2022/07/06		
Meg22_24_Bin_100	Meg22_24_Bin_100	01_unpublished_bakerlab	v01		00036	HeGe	HeGe_00036	HeGe_00036	HeGe_Meg22_24_Bin_100	HeGe_Meg22_24_Bin_100	HeGe__Meg22_24_Bin_100_	HeGerd	HeGerd			Gerdarchaeia	86,92	3,58	medium_quality	69,02	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_24_Bin_104	Meg22_24_Bin_104	01_unpublished_bakerlab	v01		00146	HeHo	HeHo_00146	HeHo_00146	HeHo_Meg22_24_Bin_104	HeHo_Meg22_24_Bin_104	HeHo__Meg22_24_Bin_104_		HeHod			Skadiarchaeia	53,92	3,12	medium_quality	38,32	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__		bakerlab	2022/07/06		
Meg22_24_Bin_122	Meg22_24_Bin_122	01_unpublished_bakerlab	v01		00407	Loki	Loki_00407	Loki_00407	Loki_Meg22_24_Bin_122	Loki_Meg22_24_Bin_122	Loki__Meg22_24_Bin_122_	Loki	Loki			Lokiarchaeota	65,42	4,98	medium_quality	40,52	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/07/06		
Meg22_24_Bin_138	Meg22_24_Bin_138	01_unpublished_bakerlab	v01		00408	Loki	Loki_00408	Loki_00408	Loki_Meg22_24_Bin_138	Loki_Meg22_24_Bin_138	Loki__Meg22_24_Bin_138_	Loki	Loki			Lokiarchaeota	73,8	8,71	medium_quality	30,25	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/07/06		
Meg22_24_Bin_167	Meg22_24_Bin_167	01_unpublished_bakerlab	v01		00037	HeGe	HeGe_00037	HeGe_00037	HeGe_Meg22_24_Bin_167	HeGe_Meg22_24_Bin_167	HeGe__Meg22_24_Bin_167_	HeGerd	HeGerd			Gerdarchaeia	53,85	4,03	medium_quality	33,7	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_24_Bin_17	Meg22_24_Bin_17	01_unpublished_bakerlab	v01		00409	Loki	Loki_00409	Loki_00409	Loki_Meg22_24_Bin_17	Loki_Meg22_24_Bin_17	Loki__Meg22_24_Bin_17_		Loki			Lokiarchaeota	63,95	8,33	medium_quality	22,3	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		bakerlab	2022/07/06		
Meg22_24_Bin_77	Meg22_24_Bin_77	01_unpublished_bakerlab	v01		00038	HeGe	HeGe_00038	HeGe_00038	HeGe_Meg22_24_Bin_77	HeGe_Meg22_24_Bin_77	HeGe__Meg22_24_Bin_77_		HeGerd			Gerdarchaeia	58,11	4,05	medium_quality	37,86	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_46_Bin_151	Meg22_46_Bin_151	01_unpublished_bakerlab	v01		00039	HeGe	HeGe_00039	HeGe_00039	HeGe_Meg22_46_Bin_151	HeGe_Meg22_46_Bin_151	HeGe__Meg22_46_Bin_151_	HeGerd	HeGerd			Gerdarchaeia	63,2	8,26	medium_quality	21,9	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_46_Bin_152	Meg22_46_Bin_152	01_unpublished_bakerlab	v01		00147	HeHo	HeHo_00147	HeHo_00147	HeHo_Meg22_46_Bin_152	HeHo_Meg22_46_Bin_152	HeHo__Meg22_46_Bin_152_		HeHod			Skadiarchaeia	67,53	1,08	medium_quality	62,13	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__		bakerlab	2022/07/06		
Meg22_46_Bin_158	Meg22_46_Bin_158	01_unpublished_bakerlab	v01		00086	HeHe	HeHe_00086	HeHe_00086	HeHe_Meg22_46_Bin_158	HeHe_Meg22_46_Bin_158	HeHe__Meg22_46_Bin_158_	HeHeimdall	HeHeimdall			Heimdallarchaeia	88,79	7,7	medium_quality	50,29	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_46_Bin_198	Meg22_46_Bin_198	01_unpublished_bakerlab	v01		00410	Loki	Loki_00410	Loki_00410	Loki_Meg22_46_Bin_198	Loki_Meg22_46_Bin_198	Loki__Meg22_46_Bin_198_	Loki	Loki			Lokiarchaeota	82,33	4,67	medium_quality	58,98	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/07/06		
Meg22_46_Bin_212	Meg22_46_Bin_212	01_unpublished_bakerlab	v01		00087	HeHe	HeHe_00087	HeHe_00087	HeHe_Meg22_46_Bin_212	HeHe_Meg22_46_Bin_212	HeHe__Meg22_46_Bin_212_	HeHeimdall	HeHeimdall			Heimdallarchaeia	88,79	4,52	medium_quality	66,19	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__		bakerlab	2022/07/06		
Meg22_46_Bin_234	Meg22_46_Bin_234	01_unpublished_bakerlab	v01		00088	HeHe	HeHe_00088	HeHe_00088	HeHe_Meg22_46_Bin_234	HeHe_Meg22_46_Bin_234	HeHe__Meg22_46_Bin_234_	HeHeimdall	HeHeimdall			Heimdallarchaeia	75,47	4,67	medium_quality	52,12	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_46_Bin_243	Meg22_46_Bin_243	01_unpublished_bakerlab	v01		00411	Loki	Loki_00411	Loki_00411	Loki_Meg22_46_Bin_243	Loki_Meg22_46_Bin_243	Loki__Meg22_46_Bin_243_	Loki	Loki			Lokiarchaeota	89,41	4,49	medium_quality	66,96	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__AMARA-1;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__AMARA-1;s__		bakerlab	2022/07/06		
Meg22_46_Bin_83	Meg22_46_Bin_83	01_unpublished_bakerlab	v01		00040	HeGe	HeGe_00040	HeGe_00040	HeGe_Meg22_46_Bin_83	HeGe_Meg22_46_Bin_83	HeGe__Meg22_46_Bin_83_	HeGerd	HeGerd			Gerdarchaeia	79,3	8,41	medium_quality	37,25	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_46_Bin_92	Meg22_46_Bin_92	01_unpublished_bakerlab	v01		00041	HeGe	HeGe_00041	HeGe_00041	HeGe_Meg22_46_Bin_92	HeGe_Meg22_46_Bin_92	HeGe__Meg22_46_Bin_92_		HeGerd			Gerdarchaeia	60,12	9,38	medium_quality	13,22	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_115	Meg22_810_Bin_115	01_unpublished_bakerlab	v01		00042	HeGe	HeGe_00042	HeGe_00042	HeGe_Meg22_810_Bin_115	HeGe_Meg22_810_Bin_115	HeGe__Meg22_810_Bin_115_	HeGerd	HeGerd			Gerdarchaeia	70,56	5,06	medium_quality	45,26	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_118	Meg22_810_Bin_118	01_unpublished_bakerlab	v01		00584	Thor	Thor_00584	Thor_00584	Thor_Meg22_810_Bin_118	Thor_Meg22_810_Bin_118	Thor__Meg22_810_Bin_118_	Thor	Thor			Thorarchaeota	93,46	4,67	high_quality	70,11	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		bakerlab	2022/07/06		
Meg22_810_Bin_168	Meg22_810_Bin_168	01_unpublished_bakerlab	v01		00215	Hela	Hela_00215	Hela_00215	Hela_Meg22_810_Bin_168	Hela_Meg22_810_Bin_168	Hela__Meg22_810_Bin_168_	Hel	Hel			Helarchaeota	89,8	2,8	medium_quality	75,8	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__RDOG01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_213	Meg22_810_Bin_213	01_unpublished_bakerlab	v01		00148	HeHo	HeHo_00148	HeHo_00148	HeHo_Meg22_810_Bin_213	HeHo_Meg22_810_Bin_213	HeHo__Meg22_810_Bin_213_	HeHod	HeHod			Skadiarchaeia	83,42	6,22	medium_quality	52,32	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_230	Meg22_810_Bin_230	01_unpublished_bakerlab	v01		00412	Loki	Loki_00412	Loki_00412	Loki_Meg22_810_Bin_230	Loki_Meg22_810_Bin_230	Loki__Meg22_810_Bin_230_	Loki	Loki			Lokiarchaeota	79,6	4,35	medium_quality	57,85	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/07/06		
Meg22_810_Bin_25	Meg22_810_Bin_25	01_unpublished_bakerlab	v01		00089	HeHe	HeHe_00089	HeHe_00089	HeHe_Meg22_810_Bin_25	HeHe_Meg22_810_Bin_25	HeHe__Meg22_810_Bin_25_	HeHeimdall	HeHeimdall			Heimdallarchaeia	88,28	2,8	medium_quality	74,28	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_250	Meg22_810_Bin_250	01_unpublished_bakerlab	v01		00413	Loki	Loki_00413	Loki_00413	Loki_Meg22_810_Bin_250	Loki_Meg22_810_Bin_250	Loki__Meg22_810_Bin_250_	Loki	Loki			Lokiarchaeota	77,73	2,34	medium_quality	66,03	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_9	Meg22_810_Bin_9	01_unpublished_bakerlab	v01		00043	HeGe	HeGe_00043	HeGe_00043	HeGe_Meg22_810_Bin_9	HeGe_Meg22_810_Bin_9	HeGe__Meg22_810_Bin_9_		HeGerd			Gerdarchaeia	79,67	7,01	medium_quality	44,62	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
Meg22_810_Bin_92	Meg22_810_Bin_92	01_unpublished_bakerlab	v01		00216	Hela	Hela_00216	Hela_00216	Hela_Meg22_810_Bin_92	Hela_Meg22_810_Bin_92	Hela__Meg22_810_Bin_92_	Hel	Hel			Helarchaeota	73,32	3,27	medium_quality	56,97	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-A;g__HEL-GB-A;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-A;g__HEL-GB-A;s__		bakerlab	2022/07/06		
MK-D1	MK-D1	00_published	v01		00414	Loki	Loki_00414	Loki_00414_GCA_008000775	Loki_MK-D1	Loki_MK-D1_p	Loki__MK-D1_	Loki	Loki	GCA_008000775_1_ASM800077v1		Lokiarchaeota	91,74	6,07	medium_quality	61,39	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__Prometheoarchaeum syntrophicum	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		published	2022/07/06	yes	
MP_5_2	MP_5_2	00_published	v01		00046	HeGe	HeGe_00046	HeGe_00046_GCA_011366295	HeGe_MP_5_2	HeGe_MP_5_2_p	HeGe__MP_5_2_	HeGerd	HeGerd	GCA_011366295_1_ASM1136629v1		Gerdarchaeia	88,47	8,72	medium_quality	44,87	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/07/06		
MP11T_1	MP11T_1	00_published	v01		00585	Thor	Thor_00585	Thor_00585_GCA_002825515	Thor_MP11T_1	Thor_MP11T_1_p	Thor__MP11T_1_	Thor	Thor	GCA_002825515_1_ASM282551v1		Thorarchaeota	90,19	2,34	high_quality	78,49	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp002825515	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp002825515		published	2022/07/06		
MP5_1_1636	MP5_1_1636	00_published	v01		00586	Thor	Thor_00586	Thor_00586_GCA_016841005	Thor_MP5_1_1636	Thor_MP5_1_1636_p	Thor__MP5_1_1636_		Thor	GCA_016841005_1_ASM1684100v1		Thorarchaeota	68,69	0,93	medium_quality	64,04	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__TEKIR-14;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
MP5_1_211	MP5_1_211	00_published	v01		00217	Hela	Hela_00217	Hela_00217_GCA_016840985	Hela_MP5_1_211	Hela_MP5_1_211_p	Hela__MP5_1_211_	Hel	Hel	GCA_016840985_1_ASM1684098v1		Helarchaeota	79,91	4,19	medium_quality	58,96	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__RDOG01;g__RDOG01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__		published	2022/07/06		
MP5_1_2197	MP5_1_2197	00_published	v01		00587	Thor	Thor_00587	Thor_00587_GCA_016840965	Thor_MP5_1_2197	Thor_MP5_1_2197_p	Thor__MP5_1_2197_		Thor	GCA_016840965_1_ASM1684096v1		Thorarchaeota	72,9	1,4	medium_quality	65,9	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__		published	2022/07/06		
